job_title,company_name,company_size,location,work_type,work_setting,career_level,education_level,skills_and_tools,job_description,job_requirements,posted_at,url,company_size_min,company_size_max,company_size_avg,min_experience_years,max_experience_years,salary_min,salary_max,salary_currency,salary_period,city,country
Lead Backend Architect,99 Developers,1-10 employees,"Cairo, Egypt",['Full Time'],On-Site,Manager,Bachelor's Degree,"['JavaScript', 'python', 'fintech', 'Node.js', 'API gateway', 'Fintech', 'shadow ledger', 'Architecture']","About Us   We are building 99, an ethical money account for the UK market. Our mission is simple: give people a transparent, fair, and values aligned way to manage their money. We are a pre seed fintech operating as an EMI agent under UK regulation, which means we take compliance and data protection seriously while moving fast to ship product.  We are establishing an engineering presence in Egypt to build our core platform. This role is the first technical hire in that hub and will set the foundation for everything that follows.   The Role   You will be the Lead Backend Architect for our Egypt Engineering Hub. You will design the systems that power our mobile app, define how we integrate with banking partners, and ensure our architecture can scale from thousands to millions of users. You will work closely with UK leadership on product direction and technical standards.  This is not a hands off architecture role. You will write code, establish engineering practices, and make the final call on technical trade offs. You will also design our shadow ledger, the internal system that tracks every penny moving through our platform and ensures we can reconcile with our banking partners down to the last cent.   What You Will Do   Design and build the core backend services that handle user accounts, transactions, subscriptions, and regulatory reporting  Architect our shadow ledger system, ensuring immutable records, audit trails, and perfect reconciliation with EMI Principal systems  Define database schemas, API contracts, and service boundaries that can evolve as we grow  Establish code review standards and enforce security, performance, and maintainability across the codebase  Collaborate with UK product leadership to translate business requirements into technical specifications  Define infrastructure requirements and deployment patterns that satisfy UK data residency rules  Document architectural decisions, runbooks, and technical specifications in plain English for UK stakeholders    How We Work   Our Egypt hub operates on a zero access model. You will build systems that handle UK customer data, but you will never see that data yourself. We use synthetic data for development, mock servers for integration testing, and automated pipelines for deployment. Production access is restricted by design. You will architect the systems, but production credentials remain with UK based DevOps. This is non negotiable for regulatory compliance, and we need someone who respects those boundaries while still shipping excellent software.   What We Offer    Competitive salary paid monthly (GBP£ Optional)  Performance based bonuses tied to product milestones  Professional development budget for conferences, courses, and certifications  Flexible working hours with core collaboration times  Opportunity to shape the technical foundation of an early stage fintech from the ground up  Direct impact on a product that helps people manage money in line with their values   &nbsp;  &nbsp;","What We Need From You   Seven or more years of backend development experience, with at least three in a senior or lead role  Deep expertise in one or more of Java, Python, Go, or Node.js  Proven experience designing distributed systems and microservices at scale  Expert level PostgreSQL skills, including schema design, query optimization, and partitioning strategies  Strong grasp of API design, RESTful principles, and security best practices  Hands on experience with AWS or Google Cloud Platform, including serverless, containers, and managed databases  Familiarity with Infrastructure as Code tools such as Terraform or CloudFormation  Understanding of event driven architecture and message queues such as Kafka or RabbitMQ  Experience in fintech, banking, or another regulated industry where audit trails and compliance matter  Knowledge of double entry bookkeeping, reconciliation processes, or ledger systems  Security first mindset with understanding of encryption, authentication, authorization, and common attack vectors  Ability to write clear technical documentation and communicate complex ideas to non technical audiences  Fluent English, written and verbal, for daily communication with UK team members   What Sets You Apart   Experience building shadow ledger or sub ledger systems that sync with primary banking infrastructure  Knowledge of UK financial regulations, EMI frameworks, or GDPR data residency requirements  Familiarity with event sourcing, CQRS, or other patterns that create immutable, auditable records  Experience working in a zero trust or data isolated environment where production access is restricted  Background in Islamic finance or ethical banking principles  Contributions to open source projects or technical community leadership",2026-02-15 14:48:16,https://wuzzuf.net/jobs/p/omqiax1a1amh-lead-backend-architect-99-developers-cairo-egypt,1,10,6,8.0,15.0,30000.0,70000.0,EGP,Month,Cairo,Egypt
IT Specialist,Petrological Integrated Solutions,51-100 employees,"Attarin, Alexandria, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Troubleshooting', 'Database SQL Server', 'Networking', 'Information Technology (IT)', 'MS Office', 'CCNA Security', 'Technical Support', 'Software Installation']","Network Infrastructure   System administration and ensure a safe technical environment according to security standards.  Operation system backup and software developments  Server backup  Information technology standard follow-up and implementation.   server remote access  Support at VPN and direct access  Support computer software integration by diagnosing and troubleshooting common problems.  Install and configure computer systems and applications within the company.  Actively update, maintain, and monitor all aspects of computer networks.  Resolve technical issues related to network interruptions.  Maintain a working log detailing all required system updates, as well as the date of completion.  Organize and file documentation about warranties and instructional guides for computer hardware.  Assist management in creating training materials about computer troubleshooting and usage.  Preparing and delivering the required devices and applications to new employees, and receiving and verifying devices from departing employees   inventory in the Information Technology Department  Searching for new offers and technologies, which in turn develop the business or meet the internal needs of the company   Preparing the needed reports.  Any other add hocks or extra duties as per the management requirements and directions.",Bachelor’s degree in computer science or a similar field.  Experience from 2 to 4 years.  Knowledge of database and networking security systems.  Excellent troubleshooting skills.  Knowledge of MS office.  English fluency is a must.  Gender: Male.,2026-02-15 16:21:07,https://wuzzuf.net/jobs/p/xj9tgorhcdas-it-specialist-petrological-integrated-solutions-alexandria-egypt,51,100,76,2.0,4.0,,,,,Alexandria,Egypt
Sr. Software Tester,Wisely Insure,11-50 employees,"Nasr City, Cairo, Egypt",['Full Time'],Remote,Experienced (Non-Manager),Not Specified,"['Product', 'Quality', 'Software Testing']","Job Summary:    You will be responsible for checking new software products for defects or issues. Run various tests on software to ensure it meets all standards and guidelines and is ready to be marketed to consumers. Identify issues and run debugging programs as needed. Generate reports, work with software developers to correct issues, and upgrade databases as required.      Job Responsibilities:        Run various tests on new software products to ensure that programs satisfy all specifications and requirements  Execute test cases (manual and automated) and analyze results  Identify any problems and run debugging programs to fix issues.  Record all defect details, creating and distributing reports outlining the types of defects found and the steps taken to resolve these issues.   Maintaining documentation, such as change logs, regarding software and application defects to recognize and forecast similar problems in the future and to provide quick resolution.  Work closely with developers to recognize the potential for any operational issues, assess risks, and resolve issues before the new software is complete.  Conduct post-release/ post-implementation testing  Ensure that the system is working in an efficient and effective manner and the as-built is similar to as-designed  Work with cross-functional teams to ensure quality throughout the software development lifecycle","BSc/BA in Computer Science, Engineering or a related field  From 3-5 years’ experience as Sr. Quality Assurance Engineer&nbsp;  Experience with Agile frameworks and API Testing and Performance Testing is a  Must   Automation Selenium Java is a Plus  Ability to document and troubleshoot errors  Working knowledge of test management software (e.g. qTest, Zephyr) and SQL  Excellent communication skills  Attention to detail  Analytical mind and problem-solving aptitude  Strong organizational skills",2026-02-15 17:39:47,https://wuzzuf.net/jobs/p/izrdu1hf9tjp-sr-software-tester-wisely-insure-cairo-egypt,11,50,30,3.0,5.0,,,,,Cairo,Egypt
Java Developer,Afaqy,101-500 employees,"Maadi, Cairo, Egypt",['Full Time'],Hybrid,Experienced (Non-Manager),Bachelor's Degree,"['Java SE', 'Computer Science', 'Computer Engineering', 'Information Technology (IT)', 'Java EE', 'Socket Programming', 'Spring Framework', 'Maven', 'Hibernate', 'Redis', 'KAFKA', 'AKKA', 'MySQL', 'Linux', 'Software Engineering', 'Scalla', 'Spring', 'Netty', 'Java', 'Software Development', 'SQL', 'Engineering', 'MongoDB', 'MS SQL']","Defines site objectives by analyzing user requirements; envisioning system features and functionality. 
 Designs and develops user interfaces to internet/intranet applications by setting expectations and features priorities throughout development life cycle; determining design methodologies and tool sets; completing programming using languages and software products; designing and conducting tests. 
 Recommends system solutions by comparing advantages and disadvantages of custom development and purchase alternatives. 
 Integrates applications by designing database architecture and server scripting; studying and establishing connectivity with network systems, search engines, and information servers. 
 Creates multimedia applications by using authoring tools. 
 Completes applications development by coordinating requirements, schedules, and activities; contributing to team meetings; troubleshooting development and production problems across multiple environments and operating platforms. 
 Supports users by developing documentation and assistance tools. 
 Updates job knowledge by researching new internet/intranet technologies and software products; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations. 
 Enhances organization reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments.","BS/MS degree in Computer Science, Engineering or a related subject.  Java SE Java EE  Netty Framework  Socket programming  Spring Framework  Maven  Hibernate  Docker  Docker Swarm  Redis  KAFKA   KAFKA Streams  Design Patterns  Databases (MySQL, MS SQL, Mongodb)  Linux severs (Centos)  Scalla (Extra)",2026-02-15 19:08:08,https://wuzzuf.net/jobs/p/qdfegyggm8j2-java-developer-afaqy-cairo-egypt,101,500,300,2.0,6.0,,,,,Cairo,Egypt
Senior Laravel Developer (remote),Zad aljoud,Unknown,"Riyadh, Saudi Arabia",['Full Time'],Remote,Experienced (Non-Manager),Bachelor's Degree,"['Laravel Framework', 'Laravel PHP', 'Mysql Database', 'Laravel framework', 'Laravel php', 'Mysql database', 'Restful apis', 'Object-oriented programming (oop)', 'Version control (git)', 'Agile methodologies', 'Software design patterns', 'Problem-solving', 'Communication', 'Teamwork', 'Debugging', 'Testing (unit, integration)']","We are looking for a  Senior Laravel Developer  to design, develop, and maintain scalable web applications using Laravel. The ideal candidate has strong experience in Laravel, MySQL, RESTful APIs, and clean code practices, and can work independently in a remote environment while collaborating effectively with the team.","5+ years of experience in Laravel and PHP development  Strong experience with MySQL database design and optimization  Solid understanding of RESTful APIs and backend architecture  Strong knowledge of Object-Oriented Programming (OOP)  Experience with Git version control  Ability to write clean, maintainable, and scalable code  Experience working in remote teams  Strong problem-solving and debugging skills  Good communication skills in a collaborative environment   &nbsp;",2026-02-16 06:15:43,https://wuzzuf.net/saudi/jobs/p/xtqd13lzv5rm-senior-laravel-developer-remote-zad-aljoud-riyadh-saudi-arabia,76,76,76,5.0,10.0,,,,,Riyadh,Saudi Arabia
IT Help Desk,Chloride,501-1000 employees,"Abu Rawash, Giza, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Troubleshooting Software', 'Software', 'Networks', 'Networking', 'Computer Hardware', 'Information Technology (IT)', 'Software Engineering', 'Computer Science', 'Engineering']","Provide technical assistance and support for incoming queries and issues related to computer systems, software and hardware  Maintain daily performance of computer systems  Install, modify and repair computer hardware and software  Run diagnose program to resolve problems to head office and branches  Ability to diagnose and resolve basic technical issues  Resolve technical problems with local area networks (LAN), wide area networks (WAN), and other systems  Install computer peripherals for users  Follow up with employees to ensure issue has been resolved  Manage CCTV system  Manage documents and files  Reporting to IT Manager","very good communication, problem solving, analytical and decision making skills  Good understanding of computer system, mobile devices and other tech products  MCSE, CCNA certificates are preferred  Flexible working with Microsoft office apps  Basic knowledge of CAM and Fingerprint systems",2026-02-16 09:48:07,https://wuzzuf.net/jobs/p/ocavaibodwni-it-help-desk-chloride-giza-egypt,501,1000,750,1.0,2.0,,,,,Giza,Egypt
Middle Golang Developer,Vertex Technologies,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Golang', 'Backend Development', 'Git', 'Problem Solving', 'Team Collaboration', 'SQL', 'English B2', 'Web Development', 'Scalable Applications', 'Unit Testing', 'Code Refactoring', 'Cloud Technologies', 'Microservices', 'Go']","We are an Egyptian technology company delivering international software projects in cooperation with the global NIX brand.  Our office in Smart Village, at the heart of Cairo’s tech ecosystem , offers stability, transparent working conditions, professional mentorship, and a supportive team — an  ideal environment to start your career!   &nbsp;   Responsibilities:    Active collaboration with development teams to determine applications requirements and implementation.  Writing scalable and well-covered by tests Golang code, refactoring and debugging it.  Participate in code and technical design reviews of other developers.  Following best practices of code writing using modern approaches and patterns.  Write and maintain project documentation.  Learn new technologies and keep up with both traditional and emerging best practices.  Creating web platforms integrating different data storage solutions and cloud technologies.   &nbsp;   What We Offer:    Long-term career stability with a competitive salary paid in USD.  Conditions for steady career development.  Development supported by dedicated mentors and a variety of programs focused on expertise and innovation.  Private medical insurance provided after successful completion of the probationary period  A well-equipped and cozy office supports comfort and productivity across all project stages.  Welcoming atmosphere and a friendly corporate culture.","What we expect from you:    4+ years of experience in Backend engineering.  Proficiency in Go.  Strong expertise with one of cloud platforms (AWS/ Azure/ GCP).  Experience in designing, developing, and deploying scalable backend systems.  Deep understanding of microservices architecture, distributed systems, and API design.  Strong problem-solving skills and the ability to work independently.  Upper-Intermediate English level (B2+).  Experience with CI/CD pipelines and DevOps practices.  Good communication skills and the ability to work in a collaborative team environment.  A proactive mindset with a passion for solving complex problems.  Ability to thrive in a high-impact and fast-paced environment.    Will be a plus:    Experience profiling applications, using metrics + experience. eliminating ""performance bottleneck"".  Experience with Kubernetes.  Commercial experience with JS (React/Vue/Angular).  Knowledge of ELK / Prometheus & Grafana.  Experience with message brokers: Kafka/RabbitMQ.",2026-02-16 11:46:43,https://wuzzuf.net/jobs/p/lrvucs91cofq-middle-golang-developer-vertex-technologies-cairo-egypt,11,50,30,4.0,6.0,,,,,Cairo,Egypt
Lead Developer,Unknown,Unknown,"Dubai, United Arab Emirates",['Full Time'],Remote,Experienced (Non-Manager),Not Specified,"['JavaScript', 'PostgreSQL', 'Redis']","Lead/Senior Developer   We're looking for a hands-on technical leader to drive our sports betting platform forward. You'll own and evolve our core systems—including real-time odds streaming, data pipelines, and trading infrastructure—while mentoring a growing development team.      What you'll do:    Lead development of high-performance, low-latency systems processing live odds and betting data  Design and build robust ETL pipelines that power our trading and risk management tools  Write complex, production-grade code while setting technical standards for the team  Guide and mentor junior developers, conducting code reviews and fostering engineering excellence  Collaborate with product and operations to translate business needs into scalable solutions      What we're looking for:    Strong hands-on experience with Node.js  & PostgreSQL in production environments  Proven track record building real-time data streaming systems, ideally in sports betting or trading  Solid understanding of ETL processes and data pipeline architecture  Experience leading or mentoring developers  Comfortable working across the full stack and making architectural decisions.      Nice to have:    Rust experience.  Background in sports betting, iGaming, or financial trading platforms  AWS EKS, EC2, RDS, OpenSearch & Redis (Elasticache)",Unknown,2026-02-16 12:58:34,https://wuzzuf.net/jobs/p/p0a0fbexvzqg-lead-developer-dubai-united-arab-emirates,76,76,76,7.0,6.0,8000.0,15000.0,AED,Month,Dubai,United Arab Emirates
.Net Full Stack Developer,Logix for information Technology,51-100 employees,"Heliopolis, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['ASP.Net', 'Information Technology (IT)', 'ASP.Net Web API', 'Database SQL Server', 'HTML', '.Net Development', 'ERP Solutions', 'Full Stack Development', 'SQL', 'Software Development', 'Angular', '.Net', 'Computer Science', 'CSS', 'JavaScript']","The Full Stack Developer (.Net) position in Cairo, Egypt, offers an exciting opportunity for skilled developers to work on innovative projects that drive business growth. This role requires a deep understanding of both front-end and back-end technologies, allowing developers to create seamless and efficient applications. The ideal candidate will be responsible for designing, developing, and maintaining web applications while collaborating with cross-functional teams to deliver high-quality software solutions.   Responsibilities:    Design and develop scalable web applications using .NET technologies.  Collaborate with UI/UX designers to create user-friendly interfaces.  Implement RESTful APIs and integrate with third-party services.  Conduct code reviews and provide constructive feedback to team members.  Debug and troubleshoot application issues to ensure optimal performance.  Participate in Agile development processes, including sprint planning and retrospectives.  Write unit and integration tests to ensure code quality.  Stay updated with the latest industry trends and technologies.  Document development processes and maintain technical specifications.  Mentor junior developers and assist in their professional growth.","Proficient in VB.Net, C#, ASP.NET Web forms, and .NET Core.  Strong knowledge of HTML, CSS, and JavaScript frameworks (e.g., Angular, React).  Experience with SQL Server and database design.  Familiarity with RESTful API development and integration.  Understanding of cloud computing concepts and services.  Knowledge of version control systems, especially Git.  Ability to write clean, maintainable code.  Experience with testing frameworks and methodologies.",2026-02-16 13:31:11,https://wuzzuf.net/jobs/p/f6gpv3zscysi-net-full-stack-developer-logix-for-information-technology-cairo-egypt,51,100,76,5.0,10.0,,,,,Cairo,Egypt
Social Media Growth Infrastructure Engineer,Al Farouk For Educational Service,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Not Specified,"['AdsPower', 'Multilogin', 'GoLogin', 'Python', 'Selenium', 'Playwright', 'Puppeteer', 'Residential Proxies', 'Mobile Proxies', 'Proxy Rotation', 'PostgreSQL', 'MySQL', 'Browser Automation', 'Web Scraping', 'API Integration', 'Social Media Automation', 'Multi-Account Management', 'Browser Fingerprinting', 'Anti-Detection', 'Redis', 'Beautiful Soup', 'Scrapy', 'SOCKS5', 'Docker', 'Linux', 'REST API', 'Bright Data', 'Canvas Fingerprinting', 'asyncio', 'Flask', 'FastAPI', 'GitHub', 'Growth Hacking', 'Digital Marketing Automation', 'IP Rotation']","We are seeking a talented  Social Media Operations Engineer  to join our growing technical team. This role focuses on building and maintaining  large-scale automation infrastructure  for social media campaign management and digital marketing operations. &nbsp;   KEY RESPONSIBILITIES:  • Design and maintain cloud-based browser automation systems for managing multiple digital properties • Develop Python scripts and tools for workflow automation and data processing • Manage database systems (PostgreSQL/MySQL) for campaign tracking and analytics • Configure and manage proxy infrastructure for distributed operations • Build API integrations with various platforms and third-party services • Implement monitoring dashboards for system performance • Ensure 99%+ uptime for critical automation services • Maintain operational security protocols and data privacy  &nbsp;   WHAT YOU'LL WORK WITH:  • Browser automation platforms (AdsPower, Multilogin, GoLogin, or similar) • Python automation frameworks (Selenium, Playwright, Puppeteer) • Database systems (PostgreSQL, MySQL, Redis) • Proxy management (residential, mobile, datacenter proxies) • Cloud infrastructure (AWS, DigitalOcean, Azure) • Task scheduling and queue systems  &nbsp;   IDEAL CANDIDATE:  • 2-5 years of hands-on Python programming and automation experience • Strong problem-solving skills with ability to work independently • Experience managing large-scale distributed systems • Portfolio or GitHub repository demonstrating technical skills • Comfortable in fast-paced, evolving environments • Excellent communication in English and Arabic  &nbsp;   BENEFITS:  • Competitive salary based on experience • Professional development budget • Performance bonuses • Modern work environment  &nbsp;  TO APPLY: Submit CV + GitHub profile/code samples","ESSENTIAL TECHNICAL SKILLS:       Programming & Automation:  • Strong Python programming (2+ years practical experience) • Hands-on experience with Selenium, Playwright, or Puppeteer • Web scraping libraries (Beautiful Soup, Scrapy) • REST API integration and development • Asynchronous programming (asyncio)      Database & Infrastructure:  • PostgreSQL or MySQL database administration • Complex SQL queries and optimization • Redis or similar caching systems (preferred) • Linux/Unix command line proficiency • Docker containerization (preferred)      Specialized Tools:  • Experience with browser automation platforms (AdsPower, Multilogin, GoLogin, or similar) • Understanding of proxy management (residential, mobile, datacenter) • Knowledge of browser fingerprinting and anti-detection techniques • Cloud platforms experience (AWS, DigitalOcean, Azure)      Soft Skills:  • Strong problem-solving and troubleshooting abilities • Attention to detail and precision • Fast learner with new technologies • Discretion handling sensitive information • Excellent English and Arabic communication      Education:  • Bachelor's degree in Computer Science, Software Engineering, IT, or related field  NICE TO HAVE: • GitHub profile with automation projects • Digital marketing agency experience • Social media platform APIs experience • Freelance automation projects • OPSEC knowledge",2026-02-16 13:51:29,https://wuzzuf.net/jobs/p/jammowofuann-social-media-growth-infrastructure-engineer-al-farouk-for-educational-service-cairo-egypt,11,50,30,3.0,7.0,,,,,Cairo,Egypt
Odoo Presales Consultant,OdooTec,11-50 employees,"New Cairo, Cairo, Egypt",['Full Time'],Hybrid,Experienced (Non-Manager),Not Specified,"['Computer Science', 'English', 'ERP', 'Software', 'Presales', 'Communication skills', 'Accounting', 'Software Development', 'Cold Calling', 'Odoo', 'Implementation', 'Sales', 'Information Technology (IT)', 'Business Development', 'Financial Accounting']","OdooTec is hiring an experienced Odoo Presales Consultant with in-depth knowledge, and excellent track records in presales and implementing Odoo. The candidate will demonstrate proficiency in presenting, discussing, and providing Odoo consulting services to clients.  We particularly seek to hire motivated professionals to provide truly high-quality Odoo professional services to our prospective and current clients. Playing this role, you will work closely with other teams to ensure project sales and delivery. This position is critical to OdooTec's success, providing unparalleled quality services to prospective clients and demonstrating the true value of OdooTec to prospective clients.   Responsibilities    Responsible for the day-to-day presales activities, demos, and client discussions, as well as handling project implementations.  Demonstrate proficiency in writing software/business requirements documents and offer consultation, vision, and direction to clients and stakeholders.  Provide the scope-of-work document with a planned timeframe and budget.  The applicant will plan and prioritize product feature backlog and development for the product, leads the planning of product release plans, and set the expectations for the delivery of new functionalities.  Manage Client relationships.  Deliver high-quality services to OdooTec clients.","Skillful at conducting  Enterprise demos.  Experience in the implementation and support of Odoo is a plus.  Critical thinking, commitment, involvement, and innovation.  Analytical and problem-solving skills.  Excellent presentation and communication skills.  Professional persuasion and negotiation skills.  Deep understanding of various business aspects.  Highly skilled in managing time and recording activities and timesheets.  Able to write complete required documents.  Accounting knowledge is a must.  Skills in using AI Prompt Engineering is an advantage.  Experience with various ERP systems is a plus.  Excellent English speaking and writing is a must.",2026-02-16 13:52:33,https://wuzzuf.net/jobs/p/yndhwc58gsa1-odoo-presales-consultant-odootec-cairo-egypt,11,50,30,2.0,3.0,,,,,Cairo,Egypt
Software Developer,Unknown,Unknown,"Giza, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Front-End Development', 'Back-End Development', 'Front-end development', 'Back-end development', 'Javascript', 'Python', 'React', 'Node.js', 'Sql', 'Rest apis', 'Agile methodologies', 'Software architecture', 'Problem-solving', 'Teamwork', 'Communication']","Join our dynamic team in Giza, Egypt, as a Software Developer and shape the future of technology!  We are seeking a highly motivated and experienced Software Developer to contribute to the design, development, and implementation of innovative software solutions. This is an  on-site  opportunity offering a challenging and rewarding career path.   Responsibilities:    Develop high-quality, scalable, and maintainable code.  Collaborate with cross-functional teams to define, design, and ship new features.  Participate in code reviews and contribute to improving our coding standards.  Troubleshoot, debug, and resolve software defects.  Stay up-to-date with the latest technology trends and best practices.    Skills & Technologies:    Proficiency in  Front-End Development  and  Back-End Development .  Strong experience with languages like  JavaScript  and  Python .  Familiarity with frameworks such as  React  and  Node.js .  Experience with  SQL  and relational databases.  Knowledge of  REST APIs  and microservices architecture.  Understanding of  Agile Methodologies .    Growth Opportunities:   We offer extensive opportunities for professional development and career advancement. You'll have the chance to work on cutting-edge projects, expand your skill set, and take on increasing levels of responsibility.   Team & Culture:   We foster a collaborative and inclusive work environment where every team member is valued and supported. We encourage innovation, creativity, and continuous learning.   Impact:   Your work will have a direct impact on our products and services, helping us to deliver exceptional value to our customers. Be a part of something meaningful and contribute to our continued success.","We are looking for passionate and skilled Software Developers to join our team! If you possess the following qualifications, we encourage you to apply:     5-20 years of experience  in software development.   Strong proficiency  in  Front-End Development  and  Back-End Development .   Expertise  in programming languages such as  JavaScript  and  Python .   Solid understanding  of frameworks like  React  and  Node.js .   Experience  with  SQL  and database management.   Familiarity  with  REST APIs  and microservices.   Knowledge  of  Agile Methodologies .   Excellent  problem-solving and communication skills.",2026-02-16 14:09:41,https://wuzzuf.net/jobs/p/snhd6zpgzhid-software-developer-giza-egypt,76,76,76,5.0,20.0,,,,,Giza,Egypt
Sales Executive (Microsoft Solutions),Ofoq Consulting,11-50 employees,"Giza, Egypt",['Full Time'],Remote,Experienced (Non-Manager),Bachelor's Degree,"['Sales', 'English', 'Marketing', 'CRM', 'Telesales', 'Telemarketing', 'Cloud', 'Software', 'Customer Service', 'sales skills']","Overview  We are seeking a highly motivated and results-driven Telesales Representative to expand our Microsoft 365 and applications business in Saudi Arabia. This is a remote, work-from-home role focused on reaching out to potential clients, building relationships, and driving sales growth through cold calls, LinkedIn outreach, and leveraging lead generation tools. The ideal candidate will have strong sales skills, familiarity with Microsoft products, and the ability to connect with businesses in the Saudi market.   Key Responsibilities:   1. Prospecting and Outreach:    Conduct cold calls to potential clients in the Saudi market to promote Microsoft 365 and other Microsoft solutions.  Identify and engage prospects via LinkedIn and other professional networks.  Use lead generation tools such as Apollo to build a strong pipeline of prospects.  2. Sales and Lead Management:   Understand customer needs and provide tailored product recommendations.  Present the benefits and features of Microsoft products in a clear and persuasive manner.  Follow up with leads to nurture relationships and close deals.  Maintain accurate and detailed records of sales activities in the CRM system &#40;Dynamics 365 Sales&#41;.  3. Collaboration and Strategy:   Work closely with the sales and marketing teams to align efforts and identify cross-selling opportunities.  Participate in team meetings to share insights and improve sales strategies.  4. Market Knowledge and Training:   Stay updated on Microsoft product developments, features, and market trends.  Understand the specific needs and pain points of businesses in Saudi Arabia to provide relevant solutions.  5. Performance Tracking:   Meet or exceed monthly sales targets and KPIs, including call volume, lead conversion rates, and revenue generation.","1. Sales Experience:    Proven experience in software product tele sales role (minimum 3-4 years).  Experience targeting businesses in the Saudi market is a strong advantage.     2. Technical Knowledge:    Familiarity with Microsoft 365 products (e.g., Word excel, Teams, SharePoint, OneDrive) is preferred.  Understanding of cloud-based software solutions is a plus.     3. Communication & Interpersonal Skills:    Strong verbal communication and persuasive skills.  Ability to build rapport quickly and maintain professional relationships with prospects.  Fluent in both Arabic and English.     4. Lead Generation & CRM Tools:    Familiarity with LinkedIn Sales Navigator or similar tools for prospecting.  Experience using lead generation tools such as Apollo is a strong advantage.  Hands-on experience with CRM platforms (preferably Dynamics 365) to manage leads and sales pipelines.    Education & Personal Attributes:   5. Goal-Oriented & Self-Motivated:    Ability to work independently in a remote setup, staying focused and productive.  Strong organizational skills and a results-driven mindset.     6. Problem Solving & Adaptability:    Ability to handle objections and customize sales pitches to meet client needs.   Comfortable learning new tools, technologies, and sales techniques.    7. Academic Background:   Bachelor’s degree in Business, Marketing, IT, or a related field is preferred but not mandatory if relevant experience is demonstrated.  8. Cultural Understanding:    Familiarity with the business culture and market dynamics in Saudi Arabia.   Familiar with remote / work from home model.  9. Tech Savvy:    Comfortable working in a digital environment with tools such as Microsoft Teams, Office 365, and online collaboration platforms.",2026-02-16 14:11:38,https://wuzzuf.net/jobs/p/br2pstjlqbng-sales-executive-microsoft-solutions-ofoq-consulting-giza-egypt,11,50,30,3.0,4.0,,,,,Giza,Egypt
Sales Account Manager – Software Services,MTS-IT,51-100 employees,"Maadi, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['strong experience in software services sales to grow and manage client accounts across Egypt, Africa, and the Gulf, based in Cairo.  This role focuses on consultative selling, long-term account development, and closing custom software delivery engagements', 'and closing custom software delivery engagements', 'role focuses on consultative selling', 'Sales Account Manager', 'B2B', 'B2B Sales']","Develop and manage  enterprise and mid-market accounts  across the assigned regions  Sell  custom software development, product engineering, and managed delivery teams   Build and maintain strong  C-level and senior stakeholder relationships   Own the  full sales cycle : lead qualification, solution shaping, proposals, negotiation, and closure  Work closely with  delivery and technical teams  to ensure accurate scoping and pricing  Grow existing accounts through  upsell and cross-sell  opportunities  Maintain a healthy pipeline and provide accurate  sales forecasting","5–10 years  of experience in  software services / IT services sales   Proven background in selling  custom software development or engineering services   Experience covering  Egypt and at least one of Africa or GCC markets   Strong understanding of  delivery models  (T&M, managed teams, project-based)  Excellent communication, negotiation, and relationship-building skills  Comfortable working with technical teams and discussing solutions at a high level  Based in  Cairo  with flexibility to travel regionally",2026-02-12 19:17:37,https://wuzzuf.net/jobs/p/5wbsz2mdvqtp-sales-account-manager-software-services-mts-it-cairo-egypt,51,100,76,5.0,10.0,,,,,Cairo,Egypt
