Skill,Count
Visual Basic 6,1
SAP MM configuration,1
Procurement process management,1
Inventory management,1
SAP integration,1
Troubleshooting and problem-solving,1
User training and support,1
CRM Systems,1
Data Analysis & Interpretation,1
Sales Performance Tracking,1
Reporting & Dashboard Creation,1
Forecasting & Trend Analysis,1
Business Acumen,1
Mechatronics Engineering,1
Robotics,1
Control Systems,1
PLC Programming,1
CAD Design,1
Performance Management,1
Matlab,1
Simulink,1
Technical Development,1
Hiring,1
HRMS,1
Oracle XML Publisher,1
SwiftUI,1
TailwindCSS,1
AlpineJS,1
Livewire,1
elementor,1
square pos,1
Wordpress development,1
Elementor,1
Woocommerce,1
Square pos,1
Ui design,1
Ux design,1
E-commerce development,1
Website optimization,1
Booking systems,1
Conversion optimization,1
Technical guidance,1
Diligent,1
Hardworking,1
Square API REST API PHP WordPress Development CRO Logistics Integration Inventory Sync,1
Linear,1
WFM,1
METRICS,1
Real Time Management (RTM),1
BPO,1
Data analytics,1
Wfm,1
Metrics,1
Real time management (rtm),1
Call center,1
Bpo,1
Real-time monitoring,1
Workforce optimization,1
Performance reporting,1
Scheduling,1
Forecasting,1
HR,1
Strong communication skills,1
Fluent English (B2+/C1),1
Proactive,1
Organized,1
English Speaking,1
Service Desk Management,1
POS,1
Gitlab,1
Agentic,1
Ai,1
Agentic frameworks,1
Machine learning,1
Deep learning,1
Natural language processing (nlp),1
Tensorflow,1
Pytorch,1
Analytical skills,1
Concurrency,1
Experiential Learning,1
Document Controlling,1
Standard Operating Procedure,1
Business administration,1
Document controlling,1
Standard operating procedure,1
Records management,1
Quality assurance,1
Data management,1
Version control,1
Workflow management,1
Attention to detail,1
It literacy,1
MERN Stack,1
blazor,1
c#.net,1
ASP.net MVC 5,1
buiness process analysis,1
user training,1
Client Support,1
UIkit,1
Surveillance Cameras,1
NVR,1
DVR,1
Real Estate,1
Commercial & Revenue Skills,1
E-Commerce Operations & Fulfilment,1
Product & Merchandising Skills,1
Digital Marketing & Growth Skills,1
Data & Analytics Skills,1
Technology & Systems Understanding,1
Leadership & Execution Skills,1
Team Building,1
Catalog Management,1
Customer Acquisition,1
Inventory Management,1
"Social Media Marketing (Facebook, TikTok)",1
Performance Analysis,1
Data Accuracy,1
C# and .NET Framework,1
SSRS Reporting,1
"Power Platform (Power Automate, Power BI)",1
X++ Development,1
Microsoft Dynamics AX 2012,1
Micro Services,1
Windows OS Troubleshooting,1
Active Directory (AD),1
Group Policy Management (GPO),1
TCP/IP & Subnetting,1
SLA Awareness,1
Categorization & Prioritization,1
Remote Assistance,1
Mechanical Design,1
Proficient in SolidWorks,1
Proficient in AutoCAD,1
3D Modeling & 2D Drafting,1
Engineering Drawing & Blueprint Reading,1
Design for Manufacturing (DFM),1
Material Selection,1
Android Native,1
X++,1
D365,1
"AOT, tables, classes, forms, workflows, data entities",1
F&O,1
Technical Office Engineering,1
ERP Consultanting,1
General Accounting,1
Accounts Payable,1
Payable Accounting,1
DotNetNuke,1
MBA,1
PMI,1
ROI,1
Firestore,1
DFD,1
Business Architecture,1
integrate system,1
BRDs,1
FRDs,1
MS Active Directory,1
Backup Solutions,1
recovery,1
Wlan,1
ERP Sales,1
Administration Affairs,1
Administrative Affairs,1
Technology Sales,1
AI prompting,1
MS SQL databases,1
Test,1
tester,1
software tester,1
Frameworks,1
Regression,1
Writing,1
Big Data Analytics,1
Public Speaking,1
Instructional Design,1
Technical Training,1
instructor,1
Teaching & Instruction,1
Curriculum Development,1
AI Tools & Frameworks,1
Mentoring,1
Artificial Neural Network,1
Deep Learning Framework,1
Document Control,1
BIM,1
"•	CBAP/CCBA",1
ISO 19650,1
Access Management,1
oracle development,1
"federation (SAML 2.0, OAuth 2.0, OpenID Connect)",1
AWS Cloudformation,1
Certified ScrumMaster,1
Zoho,1
Deluge,1
Zoho Creator,1
BIM 360,1
AEC platforms,1
MFA,1
GDPR,1
Electrical Engineering,1
AutoCAD,1
HV,1
MV,1
Software-Defined Networking,1
Switching,1
Checkpoint,1
Software-Defined Networking (SDN),1
Intrusion Detection/Prevention Systems (IDS/IPS),1
"Routing Protocols (BGP, OSPF)",1
Security Auditing,1
Microsoft Sentinel,1
Microsoft Purview,1
Microsoft DLP,1
Microsoft Defender,1
forms,1
Oracle Fusion,1
Network equipment support,1
Product training,1
Team collaboration,1
Adaptability,1
Strategic Thinking,1
Business Writing,1
Content Marketing,1
Digital Sales,1
C,1
Dart Programming,1
Cross Platform Development,1
Flutter SDK,1
Operating Systems,1
Admin,1
Secretary,1
Personnel,1
Data Mining,1
data scientist,1
Hadoop,1
Spark,1
Full Stack Developer,1
Salesforce Admin tools,1
Sales Cloud,1
Service Cloud,1
SOQL,1
SOSL,1
Wireshark,1
Fiddler,1
RFID,1
Systems Engineering,1
Library Systems,1
Low Current Systems (LC),1
Network Engineering,1
LLMs (Large Language Models),1
Natural Language Processing (NLP),1
AI Application Development,1
OBIEE,1
Fi,1
Mm,1
PP,1
Microsoft .Net Framework,1
Core Data,1
firewalls,1
Visual Studio,1
Drupal,1
DDEV,1
CD pipelines,1
PHP 8,1
"•	Drupal APIs",1
"•	Field API",1
"•	Drupal Entities",1
Drush,1
Composer,1
Configuration Management,1
BI Developer,1
API Development,1
Mechanical Engineering,1
AI Systems Engineering,1
Conversational AI,1
Unity,1
Creative,1
Design Patterns,1
Version Control,1
agile frameworks,1
Scrum Master,1
Master,1
automated testing,1
Experience,1
Medical,1
jetpack compose,1
Database Administration (DBA),1
Accounting Principles,1
Business Process Analysis,1
Technology Roadmaps,1
Accounting Software,1
Business Process Optimization,1
Optimization Algorithms,1
AI Architecture,1
Decision Intelligence,1
Sales Executive,1
Leads,1
Prompting,1
AI tools,1
Creating websites,1
CQRS with MediatR,1
SignalR (real-time pricing),1
Alibaba Cloud SCCC (Saudi sovereign cloud),1
Full-stack Development,1
Microsoft Certified IT Professional,1
alteryx,1
Campaigns Analyst,1
Kochava Specialist,1
Mobile Attribution,1
Reporting & Analytics,1
A/B Testing,1
Performance Marketing,1
Oracle SCM,1
Technical Proficiency,1
Software Development Lifecycle (SDLC),1
Workflow Optimization,1
Data Center Networking,1
MPLS,1
SD-WAN,1
BGP,1
OSPF,1
Routing & Switching,1
Multithreading & Asynchronous Programming,1
Docker & CI/CD Pipelines,1
Red Hat OpenShift,1
Terraform,1
Zero Trust,1
WAF,1
Data Governance Frameworks,1
Infrastructure Security,1
Security Operations,1
Elastic Stack,1
Vulnerability Assessment,1
Data Center,1
Cisco UCS,1
Data Management & Architecture,1
Storage,1
Veeam,1
Pure Storage,1
HCI,1
Compute,1
next js,1
Tailwind,1
Clean Code,1
Reusable Components,1
Ant Design,1
React Hook Form,1
Zod,1
MQL,1
Xamarin,1
negotiation skills,1
Skills,1
outsystems,1
lead,1
faculty of Engeeniring,1
faculty of computer science,1
HP Computing Servers,1
HPE,1
MASE certificate,1
Data Catalog & Metadata Management,1
HP,1
Lonovo,1
Code Design,1
Oracle P6,1
Consulting,1
Technical Implementation,1
Client Engagement,1
Certified Information Systems Auditor,1
CompTIA A+,1
Security Engineering,1
IT Technical Support,1
IT Technical,1
CISCO,1
PC,1
SAP MM,1
SAP SD,1
SAP ERP,1
application,1
Data Lineage & Data Quality Tools,1
Dynamics,1
Ionic,1
Regulatory Compliance (NDMO / PDPL / GDPR),1
NoSQL Database,1
Linux Server Administration,1
Performance Optimization,1
healthtech,1
Content Development,1
NDMO,1
Websites Design,1
Application Design,1
Implementing,1
Engineering Principles,1
Software Development Fundamentals,1
Fire Alarm Systems,1
Fire Fighting Systems,1
Intrusion Detection Systems,1
Access Control Systems,1
CCTV Systems,1
System Maintenance,1
System Installation,1
Field Service,1
selling to mid-sized and enterprise clients,1
Strong understanding of the KSA market,1
Selling,1
Operations Management,1
PCI-DSS,1
EMV,1
TWCF,1
card management system,1
cards implementation,1
CMS implementation,1
Presentations,1
Banking Services,1
cards services,1
Civil Engineering,1
"IT projects delivery, business analysis,  solution management roles",1
BPM,1
Hardware repair,1
repairs,1
Laravel REST APIs,1
Mobile Applications,1
MVC.Net,1
ASP Web,1
API 2,1
WPF,1
"Programming (Python, JavaScript, etc.)",1
Web,1
LMS,1
proxy management,1
Sales Target Achievement,1
Sales Plan Development,1
Network Hardware,1
Hardware Analysis,1
Relationship Management,1
Technical Acumen,1
Maintanance,1
