job_title,min_experience_years,max_experience_years,Avg_experience_years,career_levels
Sales & Business Development,1,3,2.0,"['Junior', 'Mid-Level']"
Full Stack Developer,3,7,5.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Data Analyst,3,6,4.5,"['Mid-Level', 'Senior']"
Full Stack Developer,4,6,5.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,2,6,4.0,"['Junior', 'Senior']"
Backend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
AI/ML Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Design & Creative,3,6,4.5,"['Mid-Level', 'Senior']"
Data Analyst,3,6,4.5,"['Mid-Level', 'Senior']"
Mobile Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Security Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
ERP Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
Business Analyst,4,6,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,0,1,0.5,"['Fresh Graduate', 'Junior']"
Mobile Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Security Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Data Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
DevOps Engineer,6,10,8.0,['Lead / Principal']
Full Stack Developer,5,6,5.5,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
QA Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
AI/ML Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,1,5,3.0,"['Junior', 'Mid-Level']"
Scrum Master,3,10,6.5,"['Mid-Level', 'Lead / Principal']"
Sales & Business Development,2,3,2.5,"['Junior', 'Mid-Level']"
Mobile Developer,3,5,4.0,['Mid-Level']
Technical Support Engineer,4,6,5.0,"['Mid-Level', 'Senior']"
AI/ML Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
Backend Developer,0,4,2.0,"['Fresh Graduate', 'Mid-Level']"
ERP Specialist,0,2,1.0,"['Fresh Graduate', 'Junior']"
Software Engineer,2,10,6.0,"['Junior', 'Lead / Principal']"
Project Manager,3,7,5.0,"['Mid-Level', 'Senior']"
Full Stack Developer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,3,5,4.0,['Mid-Level']
Engineering (General),7,6,6.5,['Senior']
Sales & Business Development,1,3,2.0,"['Junior', 'Mid-Level']"
AI/ML Engineer,0,1,0.5,"['Fresh Graduate', 'Junior']"
AI/ML Engineer,1,2,1.5,['Junior']
Backend Developer,4,6,5.0,"['Mid-Level', 'Senior']"
Backend Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Full Stack Developer,4,8,6.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Data Engineer,1,5,3.0,"['Junior', 'Mid-Level']"
Consulting & Specialist,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,1,3,2.0,"['Junior', 'Mid-Level']"
ERP Specialist,1,2,1.5,['Junior']
Software Engineer,4,6,5.0,"['Mid-Level', 'Senior']"
Operations & Administration,1,3,2.0,"['Junior', 'Mid-Level']"
Scrum Master,3,7,5.0,"['Mid-Level', 'Senior']"
Full Stack Developer,3,5,4.0,['Mid-Level']
Business Analyst,2,4,3.0,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,7,10,8.5,['Lead / Principal']
DevOps Engineer,7,10,8.5,['Lead / Principal']
IT Infrastructure Engineer,6,10,8.0,['Lead / Principal']
IT Infrastructure Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,6,10,8.0,['Lead / Principal']
Frontend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Project Manager,8,12,10.0,['Lead / Principal']
Software Engineer,2,6,4.0,"['Junior', 'Senior']"
Sales & Business Development,2,4,3.0,"['Junior', 'Mid-Level']"
Sales & Business Development,4,9,6.5,"['Mid-Level', 'Senior']"
Software Engineer,7,6,6.5,['Senior']
Product Manager,3,5,4.0,['Mid-Level']
Technical Support Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,3,5,4.0,['Mid-Level']
ERP Specialist,3,5,4.0,['Mid-Level']
ERP Specialist,1,4,2.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
Technical Support Engineer,2,6,4.0,"['Junior', 'Senior']"
IT Infrastructure Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Security Engineer,7,6,6.5,['Senior']
Technical Support Engineer,3,5,4.0,['Mid-Level']
Full Stack Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,1,6,3.5,"['Junior', 'Senior']"
ERP Specialist,1,4,2.5,"['Junior', 'Mid-Level']"
Technical Support Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,2,5,3.5,"['Junior', 'Mid-Level']"
Consulting & Specialist,0,3,1.5,"['Fresh Graduate', 'Mid-Level']"
IT Infrastructure Engineer,1,2,1.5,['Junior']
IT Infrastructure Engineer,5,7,6.0,"['Mid-Level', 'Senior']"
AI/ML Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
Sales & Business Development,5,6,5.5,"['Mid-Level', 'Senior']"
Full Stack Developer,1,3,2.0,"['Junior', 'Mid-Level']"
Frontend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
QA Engineer,4,6,5.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Consulting & Specialist,2,4,3.0,"['Junior', 'Mid-Level']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,4,7,5.5,"['Mid-Level', 'Senior']"
Engineering (General),2,6,4.0,"['Junior', 'Senior']"
QA Engineer,3,5,4.0,['Mid-Level']
Management,7,10,8.5,['Lead / Principal']
Technical Support Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Engineering (General),1,2,1.5,['Junior']
DevOps Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
ERP Specialist,3,5,4.0,['Mid-Level']
IT Infrastructure Engineer,0,5,2.5,"['Fresh Graduate', 'Mid-Level']"
Sales & Business Development,2,3,2.5,"['Junior', 'Mid-Level']"
Full Stack Developer,3,5,4.0,['Mid-Level']
Project Manager,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
ERP Specialist,1,3,2.0,"['Junior', 'Mid-Level']"
Mobile Developer,5,6,5.5,"['Mid-Level', 'Senior']"
Security Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
AI/ML Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Frontend Developer,8,15,11.5,['Lead / Principal']
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,1,2,1.5,['Junior']
Operations & Administration,2,5,3.5,"['Junior', 'Mid-Level']"
Consulting & Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Data Engineer,8,12,10.0,['Lead / Principal']
Full Stack Developer,5,7,6.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Technical Support Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
ERP Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
Full Stack Developer,0,3,1.5,"['Fresh Graduate', 'Mid-Level']"
Full Stack Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Frontend Developer,0,5,2.5,"['Fresh Graduate', 'Mid-Level']"
IT Infrastructure Engineer,2,6,4.0,"['Junior', 'Senior']"
Data Engineer,4,7,5.5,"['Mid-Level', 'Senior']"
QA Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
Frontend Developer,0,2,1.0,"['Fresh Graduate', 'Junior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Backend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,0,8,4.0,"['Fresh Graduate', 'Senior']"
Business Analyst,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Business Analyst,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Marketing & Content,3,7,5.0,"['Mid-Level', 'Senior']"
Sales & Business Development,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Operations & Administration,0,2,1.0,"['Fresh Graduate', 'Junior']"
Management,18,6,12.0,['Senior']
ERP Specialist,3,7,5.0,"['Mid-Level', 'Senior']"
Design & Creative,3,6,4.5,"['Mid-Level', 'Senior']"
AI/ML Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Operations & Administration,0,2,1.0,"['Fresh Graduate', 'Junior']"
Project Manager,3,8,5.5,"['Mid-Level', 'Senior']"
Sales & Business Development,2,7,4.5,"['Junior', 'Senior']"
